product_name,new_price,product_rating,Processor_OR_Generation,RAM(GB),Operating_System,SSD(GB),Display(cm),rating_without_dis
ASUS Vivobook 16 (2023) AMD Ryzen 5 Hexa Core 7530U - (8 GB/1 TB SSD/Windows 11 Home) M1605YA-MB531WS ...,low,Excellent,AMD Ryzen 5 Hexa Core Processor,8.0,Windows 11 Operating System,1000.0,40.64,4.4
DELL Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3420 Notebook,low,Good,Intel Core i5 Processor (11th Gen),8.0,64 bit Windows 11 Operating System,512.0,35.56,4.0
Lenovo V15 AMD Ryzen 3 Quad Core 5300U - (8 GB/256 GB SSD/16 GB EMMC Storage/Windows 11 Home) V15 Busi...,very low,Good,AMD Ryzen 3 Quad Core Processor,8.0,Windows 11 Operating System,256.0,39.62,3.5
Lenovo IdeaPad 3 Intel Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 10 Home) 15ITL6 Thin a...,low,Excellent,Intel Core i5 Processor (11th Gen),8.0,64 bit Windows 10 Operating System,512.0,39.62,4.3
HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce ...,low,Excellent,AMD Ryzen 5 Hexa Core Processor,8.0,Windows 11 Operating System,512.0,39.62,4.3
Lenovo Lenovo LOQ AI Powered AMD Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Gra...,Moderate,Excellent,AMD Ryzen 7 Octa Core Processor,16.0,Windows 11 Operating System,512.0,39.62,4.6
MSI Prestige 16 AI Evo Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) Prestige 16 AI Evo B...,Moderate,Meduim,Intel Core Ultra 7 Processor,16.0,Windows 11 Operating System,1000.0,40.64,2.9
ASUS EeeBook 12 Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Windows 11 Home) E210MA-GJ011...,very low,Good,Intel Celeron Dual Core Processor,4.0,64 bit Windows 11 Operating System,29.46,1.0,4.0
MSI Katana 15 Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,Expensive,Excellent,Intel Core i7 Processor (13th Gen),16.0,Windows 11 Operating System,1000.0,39.62,4.2
Apple 2021 Macbook Pro Apple M1 Max - (32 GB/1 TB SSD/Mac OS Monterey) MK1A3HN/A,Very Expensive,Excellent,Apple M1 Max Processor,32.0,Mac OS Operating System,1000.0,41.15,4.2
